URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,% of Complex Words,FOG Index,Avg Number of Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,37,69,-0.30188679,0.087314662,23.99,14.36,9.65,23.99,310,1086,2.36,11,6.39
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,45,85,-0.307692305,0.106907895,28.09,14.6,11.29,28.09,324,1163,2.25,16,6.45
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,24,42,-0.272727269,0.084615385,25.07,15.07,10.09,25.07,204,691,2.33,16,6.53
125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,61,19,0.524999993,0.063795853,32.86,17.29,13.21,32.86,392,1101,2.51,4,6.85
126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,20,26,-0.13043478,0.068759342,30.63,14.52,12.31,30.63,169,586,2.35,6,6.67
127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,40,85,-0.359999997,0.127420999,27.87,16.24,11.21,27.87,276,877,2.4,8,6.71
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,12,18,-0.199999993,0.093167702,27.25,17.98,10.97,27.25,98,292,2.34,5,6.65
129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,9,8,0.058823526,0.036016949,28.58,17.77,11.5,28.58,132,404,2.42,2,6.59
130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,28,64,-0.391304344,0.070068545,38.61,16.5,15.51,38.61,344,1201,2.28,3,6.48
131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,90,33,0.46341463,0.099033816,28.16,16,11.33,28.16,338,1116,2.31,1,6.68
132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,31,23,0.148148145,0.053677932,28.38,15.21,11.41,28.38,272,901,2.42,6,6.41
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,30,21,0.176470585,0.085,30.94,21.69,12.46,30.94,208,544,2.51,1,7.16
134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,11,11,0,0.056701031,34.65,16.47,13.92,34.65,97,322,2.45,9,6.84
135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,10,8,0.111111105,0.053254438,28.19,11.49,11.32,28.19,68,313,2.15,6,6.17
136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,4,17,-0.61904759,0.056451613,25.58,15.34,10.29,25.58,102,311,2.55,6,6.67
137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,8,8,0,0.051779935,37.62,14.52,15.1,37.62,71,253,2.38,5,6.45
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,9,13,-0.181818174,0.073578595,26.47,18.09,10.66,26.47,91,268,2.42,9,6.62
139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,12,4,0.499999969,0.055749129,33.67,19.31,13.54,33.67,78,225,2.53,1,6.81
140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,18,52,-0.485714279,0.098039216,28.77,14.87,11.57,28.77,184,651,2.28,1,6.55
141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,9,22,-0.419354825,0.074698795,36.8,13.86,14.78,36.8,102,391,2.23,7,6.41
142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,41,72,-0.274336281,0.0904,28.01,16.45,11.27,28.01,364,1145,2.4,1,6.75
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,9,27,-0.499999986,0.070866142,22.46,16.67,9.05,22.46,146,475,2.39,2,6.6
144,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,4,1,0.59999988,0.031645569,37.5,16.44,15.07,37.5,37,135,2.32,1,6.69
145,https://insights.blackcoffer.com/blockchain-in-fintech/,15,12,0.111111107,0.050185874,26.24,15.65,10.56,26.24,156,541,2.24,3,6.87
146,https://insights.blackcoffer.com/blockchain-for-payments/,26,28,-0.037037036,0.077809798,22.49,18.2,9.07,22.49,217,649,2.42,10,6.8
147,https://insights.blackcoffer.com/the-future-of-investing/,40,13,0.509433953,0.062279671,26.56,15.97,10.69,26.56,229,767,2.3,3,6.7
148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,30,47,-0.220779218,0.088607595,20.99,16.54,8.46,20.99,243,800,2.27,3,6.66
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,33,4,0.783783763,0.074898785,27.7,21.3,11.17,27.7,177,464,2.44,1,7.2
150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,37,42,-0.063291138,0.104084321,19.26,16.69,7.77,19.26,225,738,2.28,11,6.61
